 . . . . .2. .2. . . . . . . . .,3,6
 . . . .4. .4. . . . . . . . . .,0,8
4. .4. . . . . .2. . . . . . . .,1,14
 . . .8. . . . . . . .2. . .2. .,2,0
2. . . . . . . . . . .8. . .2.2.,3,1
2.2. . . . . . .8. . . .4. . . .,0,6
2.2. . .8. .2. .4. . . . . . . .,1,10
 . . .4. . .8.2. . .2.4. . . . .,2,1
 .2. . . . . .4. . .8.2. . .2.4.,3,10
2. . . .4. . . .8.2.2. .2.4. . .,0,11
2.2.2. .4.4. . .8. . .2.2. . . .,1,14
 . .2.4. . . .8. . .8.2. . .2.2.,2,9
 . . . . . .2.4. .2.8.8. . .2.4.,3,15
 . . . .2.4. . .2.16. . .2.4. .2.,0,8
4.4. .2.2.16. . .2.4. . . . . . .,1,4
 . .8.2.2. .2.16. . .2.4. . . . .,2,0
2. . . . . . .2. . .8.16.2. .4.4.,3,11
2. . . .2. . . .8.16. .2.2.8. . .,0,11
4.16. .2.8.8. . .2. . .2. . . . .,1,9
 .4.16.2. . . .16. .2. .4. . . . .,2,1
 .2. . . . . .2. .4. .16. .2.16.4.,3,10
2. . . .2. . . .4.16.2. .2.16.4. .,0,15
4.32.2. .4. .4. .2. . . . . . .2.,1,9
 .4.32.2. . . .8. .2. .2. . . .2.,2,6
 . . . . . .2.2. .4. .8. .2.32.4.,3,15
 . . . .4. . . .4.8. . .2.32.4.2.,0,6
8.8.4.2.2.32.2. . . . . . . . . .,1,13
 .16.4.2. .2.32.2. . . . . .2. . .,2,6
 . . . . . .2. . .16.4. . .4.32.4.,3,2
 . .2. .2. . . .16.4. . .4.32.4. .,0,10
2.4.2. .16.32.4. .4. .2. . . . . .,1,15
 .2.4.2. .16.32.4. . .4.2. . . .2.,2,12
 . . . . . .4.2. .2.32.4.2.16.4.4.,3,3
 . . .2.4.2. . .2.32.4. .2.16.8. .,0,11
4.2.4.2.4.32.8. . .16. .2. . . . .,1,12
4.2.4.2. .4.32.8. . .16.2.2. . . .,2,4
 . . . .2. .4.2.4.2.32.8.2.4.16.2.,3,3
 . . .2.2.4.2. .4.2.32.8.2.4.16.2.,0,12
2.4.2.2.4.2.32.8.2.4.16.2.2. . . .,1,13
 .2.4.4.4.2.32.8.2.4.16.2. .2. .2.,2,1
 .2. . . .4.4.4.4.4.32.8.2.2.16.4.,3,3
2. . .2.8.4. . .8.32.8. .4.16.4. .,0,10
2.4.8.2.16.32.4. .4.16.2. . . . . .,1,8
2.4.8.2. .16.32.4.2.4.16.2. . . . .,2,3
 . . .2. .4.8.2. .16.32.4.4.4.16.2.,3,3
2. . .2.4.8.2. .16.32.4. .8.16.2. .,0,13
2.8.2.2.4.32.4. .16.16.2. .8.2. . .,1,12
 .2.8.4. .4.32.4. . .32.2.2. .8.2.,2,7
 . . . . . .8.2. .2.64.8.2.4.8.4.,3,7
 . . . .8.2. .2.2.64.8. .2.4.8.4.,0,8
8.2.16.2.4.64. .4.2.4. . . . . . .,1,12
8.2.16.2. .4.64.4. . .2.4.2. . . .,2,1
 .2. . . . .16. .8.2.64.2.2.4.2.8.,3,7
2. . . .16. . .2.8.2.64.2.2.4.2.8.,0,11
2.2.64.4.16.4.2.8.8. . .2.2. . . .,1,12
 .4.64.4.16.4.2.8. . .8.2.2. . .2.,2,1
 .2. . . . .64.4.16. .2.8.2.8.8.4.,3,6
2. . . .64.4.4. .16.2.8. .2.16.4. .,0,3
2.4.4.4.64.2.8. .16.16.4. .2. . . .,1,0
2.2.4.8. .64.2.8. . .32.4. . . .2.,2,2
 . .2. . . .4.16. .2.2.4.2.64.32.2.,3,7
2. . . .4.16. .2.4.4. . .2.64.32.2.,0,6
