 . . . . .2. . . . .2. . . . . .,1,14
 . . . . . . .2. . . .2. . .2. .,2,1
 .2. . . . . . . . . . . . .2.4.,3,10
2. . . . . . . . . .2. .2.4. . .,0,3
4.4.2.2. . . . . . . . . . . . .,1,8
 . .8.4. . . . .2. . . . . . . .,2,1
 .2. . . . . . . . . . .2. .8.4.,3,15
2. . . . . . . . . . . .2.8.4.2.,0,11
4.8.4.2. . . . . . . .2. . . . .,2,5
 . . . . .2. . . . . . .4.8.4.4.,3,6
 . . . .2. .2. . . . . .4.8.8. .,0,7
2.8.2. .4. .8.2. . . . . . . . .,1,11
 .2.8.2. .4.8.2. . . .4. . . . .,2,7
 . . . . . . .2. .2. .4. .4.16.4.,3,6
 . . . .2. .2. .2.4. . .4.16.4. .,0,8
4.4.2. .4.16.4. .4. . . . . . . .,1,1
 .2.8.2. .4.16.4. . . .4. . . . .,2,3
 . . .2. . . . . .2.8.2. .4.16.8.,3,3
2. . .2. . . . .2.8.2. .4.16.8. .,0,13
4.8.2.2.4.16.8. . . . . . .2. . .,1,9
 .4.8.4. .4.16.8. .2. . . . . .2.,2,8
 . . . . . . .4.2.8.8.8. .2.16.2.,3,2
 . .2. .4. . . .2.16.8. .2.16.2. .,0,8
4.32.2. .4. .8. .2. .2. . . . . .,1,5
 .4.32.2. .2.4.8. . . .4. . . . .,2,5
 . . . . .2. .2. .4.32.8. .2.4.4.,3,7
 . . . .4. . .2.4.32.8. .2.8. . .,0,8
8.32.8.2.2.8. . .2. . . . . . . .,1,8
8.32.8.2. . .2.8.2. . .2. . . . .,2,4
 . . . .2. . .2.8. .8.8.2.32.2.2.,3,1
 .2. . .4. . . .16.8. . .2.32.4. .,0,11
4.2.4. .16.8. . .2.32. .2. . . . .,1,15
 .4.2.4. . .16.8. .2.32.2. . . .4.,2,12
 . . .4. . .2.8. .4.16.2.2.2.32.4.,3,2
4. .2. .2.8. . .4.16.2. .4.32.4. .,0,3
4.8.4.2.2.16.4. .8.32. . . . . . .,1,12
4.8.4.2. .2.16.4. . .8.32.2. . . .,2,4
 . . . .4. .4.2.4.8.16.4.2.2.8.32.,3,2
 . .2. .8.2. . .4.8.16.4.4.8.32. .,0,8
8.2.2.4.8.16.16. .2. .32. . . . . .,1,4
 .8.4.4.2. .8.32. . .2.32. . . . .,2,5
 . . . . .2.4. . . .8.4.2.8.2.64.,3,1
 .2. . .2.4. . .8.4. . .2.8.2.64.,0,7
2.2.2.64.8.8. .2.2.8. . . . . . .,1,13
 .2.4.64. . .16.2. . .2.8. .2. . .,2,4
 . . . .2. .4.64. . .16.2. .4.2.8.,3,3
 . . .2.2.4.64. .16.2. . .4.2.8. .,0,7
2.4.64.2.16.4.8.2.4. . . . . . . .,1,10
2.4.64.2.16.4.8.2. . .2.4. . . . .,2,9
 . . . . . .64. .2.2.8.4.16.8.2.4.,3,2
 . .2. .64. . . .4.8.4. .16.8.2.4.,0,13
64.16.2.4.4. .4. .16. .2. . .2. . .,1,9
64.16.2.4. . . .8. .2.16.2. . . .2.,2,5
 . . . . .2. .4. .16.2.8.64.2.16.4.,3,7
 . . . .2.4. .2.16.2.8. .64.2.16.4.,0,11
2.4.8.2.16.4.16.4.64. . .2. . . . .,1,14
2.4.8.2.16.4.16.4. . .64.2. . .2. .,2,5
 . .8. . .2.16.2.2. .64.4.16.8.2.2.,3,1
8.2. . .2.16.2. .2.64.4. .16.8.4. .,0,10
8.2.2. .4.16.8. .16.64.2. . .8. . .,1,13
 . .8.4. .4.16.8. .16.64.2. .2. .8.,2,12
 . . .4. .4.8.8. .16.16.2.4.2.64.8.,3,6
4. . . .4.16.2. .32.2. . .4.2.64.8.,0,11
8.16.2.8.32.4.64. .4. . .4. . . . .,1,15
8.16.2.8. .32.4.64. . . .8. . . .4.,2,4
 . . .8.4. . .64. .16.2.8.8.32.4.4.,3,7
8. . . .4.64. .2.16.2.8. .8.32.8. .,0,11
8.64.16.2.4.2. . .16.32. .2.8. . . .,1,4
8.64.16.2.2. .4.2. .16.32.2. . . .8.,2,3
 . . .2. . .16.2.8.64.4.4.2.16.32.8.,3,11
2. . . .16.2. . .8.64.8.2.2.16.32.8.,0,11
2.2.8.2.16.64.32.8.8.16. .2.2. . . .,1,0
2.4.8.2.16.64.32.8. .8.16.2. . . .2.,2,1
 .2. . . .4.8.2.2.64.32.8.16.8.16.4.,3,3
2. . .2.4.8.2. .2.64.32.8.16.8.16.4.,0,15
2.8.2.2.4.64.32.8.2.8.16.4.16. . .2.,1,13
 .2.8.4.4.64.32.8.2.8.16.4. .2.16.2.,2,4
 .2. .4.2.64.8.8.4.8.32.4.2.2.32.2.,3,2
2.4.2. .2.64.16. .4.8.32.4.4.32.2. .,0,15
4.4.2.4.8.64.16. . .8.32. . .32.2.2.,1,0
2.8.2.4. .8.64.16. . .8.32. . .32.4.,2,9
 . .2.4. . .64.16. .2.8.32.2.16.32.4.,3,3
2.4. .2.64.16. . .2.8.32. .2.16.32.4.,0,10
2.4.64.2.64.16. .4.4.8.2. . .16. . .,1,13
2.4.64.2. .64.16.4. .4.8.2. .2. .16.,2,2
 .4.2.2. .64.64.4. .4.16.2.2.2.8.16.,3,6
4.4. . .128.4.2. .4.16.2. .4.8.16. .,0,11
4.8.4. .128.16.16. .8.8. .2. . . . .,1,13
 .4.8.4. . .128.32. . .16.2. .2. . .,2,3
 . . .2. . .8.4. .4.128.32. .2.16.2.,3,6
2. . . .8.4.2. .4.128.32. .2.16.2. .,0,13
2.4.2. .8.128.32. .4.16.2. .2.2. . .,1,4
 .2.4.2.2.8.128.32. .4.16.2. . . .4.,2,1
 .2. .2. .2.4.32. .8.128.2.2.4.16.4.,3,2
4. .4. .2.4.32. .8.128.2. .2.4.16.4.,0,13
4.4.4.4.2.128.32. .8.4.2. .2.2.16. .,1,1
 .2.8.8. .2.128.32. .8.4.2. . .4.16.,2,0
2. . .8. . .8.32. .4.128.2. .8.8.16.,3,6
2.8. . .8.32.2. .4.128.2. .16.16. . .,0,11
2.8.4. .8.32. . .4.128. .2.16.16. . .,1,14
 .2.8.4. . .8.32. .4.128.2. . .2.32.,2,12
 . . .4. . .16.32. .2.128.2.2.4.2.32.,3,2
4. .2. .16.32. . .2.128.2. .2.4.2.32.,0,10
4.32.4.32.16.128.2. .4.4.4. . . . . .,1,4
4.32.4.32.2.16.128.2. . .4.8. . . . .,2,5
 . . . . .2.4.32.4.32.128.2.2.16.4.8.,3,1
 .4. . .2.4.32. .4.32.128.2.2.16.4.8.,0,11
2.8.32.2.4.32.128.8.2.16.4.2. . . . .,2,2
 . .2. .2.8.32.2.4.32.128.8.2.16.4.2.,3,2
2. .2. .2.8.32.2.4.32.128.8.2.16.4.2.,0,13
4.8.2.2.4.32.32.8.2.16.128.2. .2.4. .,1,13
 .4.8.4. .4.64.8.2.16.128.2. .2.2.4.,2,8
 . .8.4. .8.64.8.2.16.128.2.2.2.2.4.,3,7
8.4. . .8.64.8.2.2.16.128.2.4.2.4. .,0,15
16.4.8.4.2.64.128. .4.16.4. . .2. .2.,1,4
16.4.8.4.2.2.64.128. .4.16.4. . . .4.,2,4
 . . . .4.4.8.4.16.2.64.128.2.4.16.8.,3,2
 . .2. .8.8.4. .16.2.64.128.2.4.16.8.,0,12
8.8.2.128.16.2.4.8.2.4.64. .2. .16. .,1,8
 .16.2.128.16.2.4.8.2.2.4.64. . .2.16.,2,5
 . . .128. .2.2.8.16.16.8.64.2.4.2.16.,3,3
128. . .2.4.8. . .32.8.64. .2.4.2.16.,0,15
128.16.64.2.4.4.2.16.32. . . .2. . .2.,1,10
128.16.64.2. .8.2.16. . .2.32. . . .4.,2,6
 . . .2. . .2.16. .16.64.32.128.8.4.4.,3,6
2. . . .2.16.2. .16.64.32. .128.8.8. .,0,15
4.16.2. .16.64.32. .128.8.8. . . . .2.,1,4
 .4.16.2.4.16.64.32. . .128.16. . . .2.,2,1
 .2. .2. . .16.32. .4.64.16.4.16.128.2.,3,7
4. . . .16.32. .2.4.64.16. .4.16.128.2.,0,14
4.32.16.4.16.64.128. .8.16. . . . .2. .,1,12
4.32.16.4. .16.64.128. . .8.16.4. . .2.,2,1
