 . .4. . . . . .2. . . . . . . .,0,9
2. .4. . . . . . .2. . . . . . .,1,10
 . .2.4. . . . . . .2.2. . . . .,2,1
 .4. . . . . . . . . .4. . .4.2.,3,5
4. . . . .2. . .4. . . .4.2. . .,0,3
8.4. .2.4. . . . . . . . . . . .,1,15
 .8.4.2. . . .4. . . . . . . .2.,2,5
 . . . . .2. .2. . . .4. .8.4.2.,3,7
 . . . .4. . .4.4. . . .8.4.2. .,0,10
8.4.2.4.8. . . . . .2. . . . . .,1,5
8.4.2.4. .2. .8. . . .2. . . . .,2,3
 . . .2. . . .4. .4. .8.8.2.2.2.,3,10
2. . . .4. . . .4.8.2. .8.4.2. .,0,15
2.8.4. .8.4. . .8. . . . . . .2.,1,14
 .2.8.4. . .8.4. . . .8. . .4.2.,2,5
 . . . . .2. .8. . .16.8. .2.4.2.,3,11
 . . . .2.8. . .16.8. .2.2.4.2. .,0,10
2.16.2.2.16.4. . .2. .2. . . . . .,1,8
 .2.16.4. . .16.4.4. . .4. . . . .,2,8
 . . . . . . . .2. . .4.4.2.32.8.,3,6
 . . . . . .4. .2.4. . .4.2.32.8.,0,15
2.4.4.8.4.2.32. . . . . . . . .2.,1,9
 .2.8.8. .4.2.32. .2. . . . . .2.,2,12
 . . . . .2. .8. .4.8.32.2.2.2.2.,3,11
 . . . .2.8. . .4.8.32.4.4.4. . .,0,11
2.16.32.4.8.4. . . . . .2. . . . .,1,5
2.16.32.4. .2.8.4. . . .2. . . . .,2,4
 . . . .2. . . . .16.32.8.2.2.8.2.,3,1
 .2. . .2. . . .16.32.8. .4.8.2. .,0,14
2.2.8. .16.32.2. .4.8. . . . .2. .,1,0
2. .4.8. .16.32.2. . .4.8. . . .2.,2,4
 . . .8.2. .4.2. . .32.8.2.16.4.2.,3,10
8. . . .2.4.2. .32.8.2. .2.16.4.2.,0,15
8.4.4.2.2.8.4. .32.16. . .2. . .2.,1,14
 .8.8.2. .2.8.4. . .32.16. . .2.4.,2,0
2. . .2. . .16.4. .8.32.16. .2.2.4.,3,1
4.2. . .16.4. . .8.32.16. .4.4. . .,0,11
4.2.16. .16.4. . .8.32. .2.4.4. . .,1,4
 .4.2.16.2. .16.4. .8.32.2. . . .8.,2,2
 . .2.16. . .2.4. .4.16.2.2.8.32.8.,3,3
2.16. .2.2.4. . .4.16.2. .2.8.32.8.,0,10
4.16.2.2.4.4.32.8.2.16.2. . .8. . .,1,8
 .4.16.4. .8.32.8.2.2.16.2. . . .8.,2,0
2. . .4. .4.16.8. .8.32.2.2.2.16.8.,3,7
2.4. . .4.16.8.4.8.32.2. .4.16.8. .,0,15
2.4.8.4.4.16.2. .8.32.8. .4.16. .2.,1,12
2.4.8.4. .4.16.2. .8.32.8.2.4.16.2.,2,0
2. .8.4. .8.16.2. .8.32.8.4.4.16.2.,3,7
2.8.4. .8.16.2.4.8.32.8. .8.16.2. .,0,7
2.8.4.4.16.16.2.2.8.32.8. . .16.2. .,1,13
 .2.8.8. . .32.4. .8.32.8. .4.16.2.,2,8
 . . .8. .2.8.4.2.8.64.8. .4.16.2.,3,7
8. . . .2.8.4.2.2.8.64.8.4.16.2. .,0,11
8.16.4.2.4.16.64.8.4. .2.2. . . . .,1,9
8.16.4.2.4.16.64.8. .4.4.4. . . . .,2,2
 . .2. . . .4.2.8.32.64.8.4.4.4.4.,3,1
2.2. . .4.2. . .8.32.64.8.8.8. . .,0,6
2.4.64.8.4.32.2. .16.8. . . . . . .,1,9
2.4.64.8. .4.32.2. .2.16.8. . . . .,2,4
 . . . .2. .64.8. .8.32.2.2.2.16.8.,3,0
2. . . .2.64.8. .8.32.2. .4.16.8. .,0,11
4.64.8. .8.32.2. .4.16.8.2. . . . .,1,15
 .4.64.8. .8.32.2.4.16.8.2. . . .2.,2,3
 . . .2. .4.64.8. .8.32.2.4.16.8.4.,3,11
2. . . .4.64.8. .8.32.2.2.4.16.8.4.,0,13
2.64.8.2.4.32.2.4.8.16.8. .4.2. . .,1,13
2.64.8.2.4.32.2.4. .8.16.8. .2.4.2.,2,0
2.64.8.2. .32.2.4.2.8.16.8.4.2.4.2.,3,7
2.64.8.2.32.2.4.2.2.8.16.8.4.2.4.2.,0,15
2.64.8.4.32.2.4.8.2.8.16.2.4.2.4.2.,2,3
2.64.8.2.32.2.4.4.2.8.16.8.4.2.4.4.,3,7
2.64.8.2.32.2.8.2.2.8.16.8.4.2.8. .,0,11
2.64.16.4.32.2.16.8.2.8.8.2.4.2. . .,1,13
2.64.16.4.32.2.16.8. .2.16.2. .2.4.2.,2,2
 . .2. . .64.16.4.2.2.32.8.32.4.4.4.,3,2
2. .2. .64.16.4. .4.32.8. .32.8.4. .,0,13
2.16.2. .64.32.4. .4.8.8. .32.2.4. .,1,9
 .2.16.2. .64.32.4. .2.4.16. .32.2.4.,3,15
2.16.2. .64.32.4. .2.4.16. .32.2.4.2.,0,7
2.16.2.2.64.32.4.2.2.4.16. .32.2.4. .,1,8
 .2.16.4.64.32.4.2.2.2.4.16. .32.2.4.,2,2
 .2.2.4. .32.16.2.64.2.8.16.2.32.2.4.,3,2
4.4.4. .32.16.2. .64.2.8.16.2.32.2.4.,0,15
4.4.4.16.32.16.2.4.64.2.8. .2.32.2.4.,1,8
 .4.8.16.32.16.2.4.2.64.2.8.2.32.2.4.,2,2
 .4.2.16. .16.8.4.32.64.2.8.4.32.4.4.,3,3
4.2.16.2.16.8.4. .32.64.2.8.4.32.8. .,0,11
4.2.16.2.16.8.4.8.32.64.2.4.4.32.8. .,1,12
4.2.16.2.16.8.4.8.32.64.2.4.2.4.32.8.,-1,-1
