 . . . .4. . . . . . .2. . . . .,3,13
 . . . .4. . . .2. . . . .2. . .,0,10
4.2. . .2. . . . . .2. . . . . .,2,0
2. . . . . . . .4. . . .2.2.2. .,0,9
2.2.2. .4. . . .2.2. . . . . . .,1,13
 . .2.4. . . .4. . . .4. .2. . .,1,6
 . .2.4. . .4.4. . . .4. . . .2.,1,4
 . .2.4.2. . .8. . . .4. . . .2.,2,2
 . .2.4. . . .8. . . .4.2. .2.2.,1,10
 . .2.4. . . .8. . .2.4. . .2.4.,2,12
 . . . . . . .4. . .2.8.2. .4.8.,1,8
 . . . . . . .4.2. .2.8. .2.4.8.,1,0
2. . . . . . .4. . .4.8. .2.4.8.,1,4
 . . .2.2. . .4. . .4.8. .2.4.8.,1,12
 . . .2. . .2.4. . .4.8.2.2.4.8.,1,4
 . . .2.2. .2.4. . .4.8. .4.4.8.,2,3
 . . .4. . . .2. . .2.4.2.4.8.16.,3,6
4. . . .2. .2. .2.4. . .2.4.8.16.,1,9
 . . .4. . . .4. .2.2.4.2.4.8.16.,1,6
 . . .4. . .2.4. . .4.4.2.4.8.16.,2,5
 . . . . .4.2.4. . .4.8.2.4.8.16.,2,8
 . . . . . .2.4.2. .4.8.2.8.8.16.,2,8
 . . . . . .2.4.2. .4.8.4.8.8.16.,1,12
 . . . . . .2.4. .2.4.8.2.4.16.16.,1,5
 . . . . .2.2.4. .2.4.8. .2.4.32.,1,4
 . . . .2. .4.4. .2.4.8. .2.4.32.,2,8
 . . . . . . .4.2. .4.8.2.4.8.32.,3,1
 .2. . .4. . . .2.4.8. .2.4.8.32.,1,0
2. . .2. . . .4. .2.4.8.2.4.8.32.,1,0
2. . .4. . . .4. .2.4.8.2.4.8.32.,3,3
2.4. .2.4. . . .2.4.8. .2.4.8.32.,3,3
2.4.2.2.4. . . .2.4.8. .2.4.8.32.,1,8
 .2.4.4. . . .4.2.2.4.8.2.4.8.32.,0,10
4.4.8.8. .4.8.8. . .4.32. . . . .,0,15
4.8.16.16. . .4.32. . . . . . . .2.,0,5
4.8.16.16. .2.4.32. . . .2. . . . .,1,14
 .4.8.32. .2.4.32. . . .2. . .2. .,0,9
 .4.8.64. .2.4.2. .2.2. . . . . .,0,14
 .4.8.64. .4.4.2. . .2. . . .2. .,1,13
 .4.8.64. . .8.2. . . .2. .4. .2.,1,10
 .4.8.64. . .8.2. . .2.2. . .4.2.,0,14
 .4.16.64. . .2.4. . .4.2. . .2. .,1,0
2.4.16.64. . .2.4. . .4.2. . . .2.,3,15
2.4.16.64.2.4. . .4.2. . .2. . .2.,1,5
2.4.16.64. .2.2.4. . .4.2. . . .4.,3,11
2.4.16.64.4.4. . .4.2. .4.4. . . .,0,15
2.8.16.64.8.2. .4.4. . . . . . .2.,1,14
2.8.16.64. .8.2.4. . . .4. . .2.2.,1,13
2.8.16.64. .8.2.4. . . .4. .2. .4.,1,10
2.8.16.64. .8.2.4. . .2.4. . .2.4.,0,4
2.16.16.64.2. .4.8. . .2.4. . . . .,1,0
2.2.32.64. .2.4.8. . .2.4. . . . .,0,9
2.4.32.64. . .4.8. .2.2.4. . . . .,0,8
2.4.32.64. .2.4.8.2. .2.4. . . . .,0,12
4.4.32.64. .2.4.8. . .2.4.2. . . .,0,8
4.4.32.64.2.2.4.8.4. .2.4. . . . .,1,4
 .8.32.64.2.4.4.8. .4.2.4. . . . .,0,13
2.8.32.64. .8.4.8. . .2.4. .2. . .,1,4
2.8.32.64.2.8.4.8. . .2.4. . . .2.,3,15
2.8.32.64.2.8.4.8.2.4. . .2. . .2.,3,10
2.8.32.64.2.8.4.8.2.4.2. .4. . . .,1,14
2.8.32.64.2.8.4.8. .2.4.2. . .2.4.,3,11
2.8.32.64.2.8.4.8.2.4.2.2.2.4. . .,1,12
2.8.32.64.2.8.4.8. .2.4.4.2. .2.4.,1,13
2.8.32.64.2.8.4.8. . .2.8. .2.4.4.,3,10
2.8.32.64.2.8.4.8.2.8.2. .2.8. . .,0,12
4.16.32.64.4.16.4.8. . .2. .2. . . .,0,15
8.32.32.64.2. .4.8. . .2. . . . .2.,0,15
8.32.32.64.2. .4.8. . .2.2. . . .2.,0,12
8.32.32.64.2. .4.8. . .2.4.2. . . .,1,12
 .8.64.64. .2.4.8. . .2.4.2. . .2.,0,14
2.8.64.64. .2.4.8. . .2.4. . .2.2.,1,13
 .2.8.128. .2.4.8. . .2.4. .2. .4.,1,13
 .2.8.128. .2.4.8. . .2.4. .2.2.4.,1,0
2.2.8.128. .2.4.8. . .2.4. . .4.4.,1,12
 .4.8.128. .2.4.8. . .2.4.2. . .8.,2,2
 . .2.128. . .8.8. .4.4.4.2.2.2.8.,0,9
2.4.2.128. .2.8.8. .2.4.4. . .2.8.,1,4
2.4.2.128.2. .2.16. . .2.8. . .2.8.,0,9
4.4.4.128. . .4.16. .2. .16. . . . .,1,8
 .4.8.128. . .4.16.2. .2.16. . . . .,1,15
 .4.8.128. . .4.16. . .4.16. . . .2.,0,10
 .4.8.128. . .8.32. . .2.2. . . . .,1,4
 .4.8.128.4. .8.32. . . .4. . . . .,1,10
 .4.8.128. .4.8.32. . .2.4. . . . .,0,5
 .8.16.128. .2.2.32. . . .4. . . . .,1,4
 .8.16.128.2. .4.32. . . .4. . . . .,0,4
2.8.16.128.2. .4.32. . . .4. . . . .,1,13
2.8.16.128. .2.4.32. . . .4. .2. . .,1,13
2.8.16.128. .2.4.32. . . .4. .2. .2.,1,13
2.8.16.128. .2.4.32. . . .4. .4. .4.,0,12
2.8.16.128. .2.4.32. .4. .8.2. . . .,1,14
2.8.16.128. .2.4.32. . .4.8. . .2.2.,1,9
2.8.16.128. .2.4.32. .2.4.8. . . .4.,0,9
2.8.16.128. .4.8.32. .2. .8. . . .4.,1,13
2.8.16.128. .4.8.32. . .2.8. .2. .4.,0,4
2.8.16.128.2.4.8.32. .2.2.8. . . .4.,1,12
2.8.16.128.2.4.8.32. . .4.8.2. . .4.,1,9
2.8.16.128.2.4.8.32. .2.4.8. . .2.4.,3,15
2.8.16.128.2.4.8.32.2.4.8. .2.4. .2.,3,15
2.8.16.128.2.4.8.32.2.4.8. .2.4.2.2.,1,12
2.8.16.128.2.4.8.32. .2.4.8.2.2.4.4.,1,12
2.8.16.128.2.4.8.32. .2.4.8.2. .4.8.,1,8
2.8.16.128.2.4.8.32.2.2.4.8. .2.4.8.,1,8
2.8.16.128.2.4.8.32.2.4.4.8. .2.4.8.,1,8
2.8.16.128.2.4.8.32.4.2.8.8. .2.4.8.,1,12
2.8.16.128.2.4.8.32. .4.2.16.2.2.4.8.,1,12
2.8.16.128.2.4.8.32. .4.2.16.2.4.4.8.,1,8
2.8.16.128.2.4.8.32.4.4.2.16. .2.8.8.,0,13
4.8.16.128.4.8.8.32. .2.2.16. .2.8.8.,1,12
4.8.16.128. .4.16.32. . .4.16.2. .2.16.,1,13
4.8.16.128. .4.16.32. . .4.16. .2.4.16.,0,13
4.8.32.128. .4.8.32. .2. .32. .2. . .,1,14
4.8.32.128. .4.8.32. . .2.32. . .2.2.,1,13
4.8.32.128. .4.8.32. . .2.32. .2. .4.,0,4
